"eventId","subEventName","playerId","positions.y","positions.x","positions.y.1","positions.x.1","matchId","eventName","teamId","matchPeriod","eventSec","subEventId","id","goal","league","teamId.opp"
10,"Shot",25393,42,93,100,100,2499727,"Shot",1612,"2H",1460.104668,100,178084043,0,"England",1644
10,"Shot",120353,36,85,100,100,2499727,"Shot",1612,"2H",1535.024969,100,178084082,0,"England",1644
10,"Shot",92899,78,75,0,0,2499727,"Shot",1644,"2H",1800.440142,100,178084175,0,"England",1612
10,"Shot",120353,32,91,100,100,2499727,"Shot",1612,"2H",1873.821022,100,178084227,0,"England",1644
10,"Shot",116,52,87,100,100,2499727,"Shot",1612,"2H",2403.092227,100,178084386,0,"England",1644
10,"Shot",21160,61,86,0,0,2499727,"Shot",1644,"2H",2843.389466,100,178084495,0,"England",1612
10,"Shot",21160,49,99,0,0,2499727,"Shot",1644,"2H",2879.337836,100,178084506,1,"England",1612
10,"Shot",377071,53,90,0,0,2499727,"Shot",1644,"2H",2965.918202,100,178084519,0,"England",1612
10,"Shot",116,55,86,100,100,2499727,"Shot",1612,"2H",3143.881792,100,178084532,0,"England",1644
10,"Shot",8958,76,80,0,0,2499728,"Shot",1627,"1H",143.210221,100,178216601,0,"England",1659
10,"Shot",9414,26,89,0,0,2499728,"Shot",1627,"1H",457.003003,100,178216643,0,"England",1659
10,"Shot",8958,63,97,0,0,2499728,"Shot",1627,"1H",532.906187,100,178216654,0,"England",1659
10,"Shot",8958,22,88,0,0,2499728,"Shot",1627,"1H",793.867499,100,178216690,0,"England",1659
10,"Shot",8958,54,97,0,0,2499728,"Shot",1627,"1H",851.501175,100,178216693,0,"England",1659
10,"Shot",9414,25,74,0,0,2499728,"Shot",1627,"1H",1333.529955,100,178216791,0,"England",1659
10,"Shot",8958,70,87,0,0,2499728,"Shot",1627,"1H",1359.563193,100,178216810,0,"England",1659
10,"Shot",8530,79,90,0,0,2499728,"Shot",1627,"1H",1515.765587,100,178216844,0,"England",1659
10,"Shot",119951,59,98,0,0,2499728,"Shot",1627,"1H",1815.723328,100,178216921,1,"England",1659
10,"Shot",119951,43,84,0,0,2499728,"Shot",1627,"1H",1989.653038,100,179445156,0,"England",1659
10,"Shot",86308,45,99,0,0,2499728,"Shot",1627,"1H",2384.886225,100,179445157,0,"England",1659
10,"Shot",8351,52,74,100,100,2499728,"Shot",1659,"1H",2680.680342,100,178217462,0,"England",1627
10,"Shot",9283,43,72,100,100,2499728,"Shot",1659,"2H",275.188713,100,178217572,0,"England",1627
10,"Shot",119951,47,86,0,0,2499728,"Shot",1627,"2H",447.220996,100,178217276,0,"England",1659
10,"Shot",86308,63,96,0,0,2499728,"Shot",1627,"2H",648.578408,100,178217341,0,"England",1659
10,"Shot",9637,54,90,100,100,2499728,"Shot",1659,"2H",892.373927,100,178217761,0,"England",1627
10,"Shot",62224,71,89,100,100,2499728,"Shot",1659,"2H",908.18625,100,178217766,0,"England",1627
10,"Shot",9637,51,89,100,100,2499728,"Shot",1659,"2H",1361.246314,100,178217918,0,"England",1627
10,"Shot",9739,33,77,100,100,2499728,"Shot",1659,"2H",1737.507833,100,178217969,0,"England",1627
10,"Shot",134102,53,91,100,100,2499728,"Shot",1659,"2H",2225.14543,100,178218026,0,"England",1627
10,"Shot",8686,56,93,0,0,2499728,"Shot",1627,"2H",2368.441175,100,178217682,0,"England",1659
10,"Shot",8530,73,69,0,0,2499728,"Shot",1627,"2H",2390.219603,100,178217690,0,"England",1659
10,"Shot",3577,72,78,0,0,2499728,"Shot",1627,"2H",2823.084482,100,178217834,0,"England",1659
10,"Shot",62224,49,79,100,100,2499728,"Shot",1659,"2H",2982.835095,100,178218153,0,"England",1627
10,"Shot",7929,64,87,100,100,2499729,"Shot",1644,"1H",278.995343,100,180122394,0,"England",1659
10,"Shot",134351,56,97,0,0,2499729,"Shot",1659,"1H",358.916008,100,180122466,0,"England",1644
10,"Shot",9283,38,83,0,0,2499729,"Shot",1659,"1H",825.945349,100,180122686,0,"England",1644
10,"Shot",7888,58,89,100,100,2499729,"Shot",1644,"1H",1138.883602,100,180122571,0,"England",1659
10,"Shot",134351,39,95,0,0,2499729,"Shot",1659,"1H",1833.134036,100,180123087,0,"England",1644
10,"Shot",9283,62,80,0,0,2499729,"Shot",1659,"1H",1862.543111,100,180123097,0,"England",1644
